City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,kokpekty,48.75,82.4,22.82,31,79,3.71,KZ,1690395055
294,horta,38.5333,-28.6333,24.8,79,20,5.81,PT,1690395476
295,dombarovskiy,50.7587,59.5386,22.98,46,43,4.1,RU,1690395055
296,anloga,5.7947,0.8973,25.55,87,41,5.28,GH,1690395056
297,barra de santo antonio,-9.4047,-35.5072,28.6,67,2,3.07,BR,1690395056
298,likiep,9.8251,169.3107,27.9,81,100,8.04,MH,1690395056
299,n'zeto,-7.2312,12.8666,21.82,83,10,3.33,AO,1690395340
300,midvagur,62.0511,-7.1939,11.46,76,100,2.57,FO,1690395477
301,sorsk,54.0033,90.2467,12.83,82,2,1.22,RU,1690395058
302,luderitz,-26.6481,15.1594,13.9,69,0,5.84,NA,1690395291
303,island harbour,50.724,-1.2758,17.18,93,100,3.13,GB,1690395478
304,kayangel,8.0823,134.7173,27.72,75,100,9.26,PW,1690395059
305,afaahiti,-17.75,-149.2833,24.93,87,81,3.65,PF,1690395478
306,del rio,29.3627,-100.8968,37.35,38,0,8.05,US,1690395059
307,boyolangu,-8.1181,111.8935,20.87,93,44,1.85,ID,1690395059
308,alofi,-19.0595,-169.9187,18.94,94,62,0.51,NU,1690395346
309,ujae,8.9322,165.7642,27.97,79,94,4.95,MH,1690395060
310,arboletes,8.8505,-76.4269,28.36,78,100,3.96,CO,1690395060
311,konsoy,40.4915,69.7025,25.98,13,2,2.65,TJ,1690395060
312,glenfield park,-35.1372,147.334,4.22,89,0,1.79,AU,1690395060
313,lagodekhi,41.8268,46.2767,24.5,68,50,1.7,GE,1690395060
314,nurlat,54.4277,50.8051,22.07,58,42,2.6,RU,1690395060
315,brak,27.5496,14.2714,37.38,7,3,3.49,LY,1690395480
316,atherton,53.5237,-2.4935,15.22,94,100,0.89,GB,1690395061
317,karungdong,5.8844,121.263,27.47,84,90,4.82,PH,1690395061
318,ohara,35.25,140.3833,24.99,93,29,2.88,JP,1690395061
319,aasiaat,68.7098,-52.8699,3.62,87,35,4.48,GL,1690395481
320,tarariras,-34.2833,-57.6167,14.51,61,64,7.8,UY,1690395061
321,vega de alatorre,20.0333,-96.6333,29.56,68,90,2.9,MX,1690395062
322,lakhipur,26.0299,90.3041,26.36,91,100,1.25,IN,1690395062
323,tralee,52.2704,-9.7026,18.14,94,100,8.23,IE,1690395481
324,batticaloa,7.7102,81.6924,28.33,72,100,0.96,LK,1690395062
325,hailey,43.5196,-114.3153,28.22,32,0,6.69,US,1690395062
326,linhares,-19.3911,-40.0722,23.62,70,75,2.31,BR,1690395063
327,cabedelo,-6.9811,-34.8339,29.37,76,16,7.02,BR,1690395063
328,linxia chengguanzhen,35.6003,103.2064,16.81,86,100,1.16,CN,1690394892
329,tyukalinsk,55.8732,72.1967,19.1,59,96,2.23,RU,1690395063
330,carahue,-38.7,-73.1667,10.09,81,100,1.7,CL,1690395063
331,bandarbeyla,9.4942,50.8122,23.91,83,10,13.78,SO,1690395064
332,seguela,7.9611,-6.6731,26.03,86,71,1.6,CI,1690395064
333,praya,14.9215,-23.5087,29.3,74,40,6.69,CV,1690395064
334,barranca,-10.75,-77.7667,22.14,67,52,4.51,PE,1690395064
335,homer,59.6425,-151.5483,18.21,78,0,1.54,US,1690395064
336,pervomays'kyy,49.3874,36.2147,25.98,43,9,6.4,UA,1690395064
337,yanykurgan,43.915,67.2481,34.84,21,9,9.49,KZ,1690395065
338,conception bay south,47.4999,-52.9981,29.53,50,66,6.09,CA,1690395065
339,gasa,31.5,34.4667,31.04,66,0,4.56,PS,1690394924
340,puerto deseado,-47.7503,-65.8938,3.71,64,7,7.38,AR,1690395065
341,palmer,42.1584,-72.3287,30.59,55,20,3.6,US,1690395484
342,burnie,-41.0667,145.9167,8.03,82,100,2.41,AU,1690395065
343,malanje,-9.5402,16.341,25.59,29,10,0.97,AO,1690395066
344,nuuk,64.1835,-51.7216,6.34,87,75,7.2,GL,1690395066
345,guichon,-32.35,-57.2,13.36,75,97,5.64,UY,1690394964
346,mangrol,21.1167,70.1167,27.34,87,99,7.41,IN,1690394959
347,san pedro,14.35,121.0167,27.57,92,75,3.6,PH,1690395486
348,tual,-5.6667,132.75,25.81,81,95,9.3,ID,1690395486
349,oyon,-10.6681,-76.7731,16.83,21,2,4.26,PE,1690394816
350,kajaani,64.2273,27.7285,18.03,77,0,1.03,FI,1690395067
351,belmonte,-15.8631,-38.8828,24.99,65,78,3.22,BR,1690395067
352,kitale,1.0157,35.0062,14.66,93,68,1.08,KE,1690395068
353,tangalle,6.024,80.7911,25.21,89,88,4.07,LK,1690395068
354,beloyarskiy,63.7119,66.6722,14.74,95,100,2.41,RU,1690395068
355,welshpool,52.6597,-3.1471,15.82,92,100,2.38,GB,1690395069
356,saint-pierre,-21.3393,55.4781,20.82,88,100,2.06,RE,1690395489
357,new norfolk,-42.7826,147.0587,10.49,93,100,1.34,AU,1690395489
